"com_code","com_nom"
10001,"DUN"
10002,"CAPOULET ET JUNAC"
10003,"NALZEN"
10004,"VERDUN"
10005,"CARCANIERES"
10006,"ST PIERRE DE RIVIERE"
10007,"ARABAUX"
10008,"MONTJOIE EN COUSERANS"
10009,"LOUBIERES"
10010,"BOUAN"
10011,"URS"
10012,"SOUEIX ROGALLE"
10013,"ENCOURTIECH"
10014,"VILLENEUVE"
10015,"MERCUS GARRABET"
10016,"LA BASTIDE DE BOUSIGNAC"
10017,"ST JULIEN DE GRAS CAPOU"
10018,"COUTENS"
10019,"GABRE"
10020,"MONTOULIEU"
10021,"LE PLA"
10022,"LE PUCH"
10023,"RIEUCROS"
10024,"ROUZE"
10025,"MAUVEZIN DE PRAT"
10026,"LARCAT"
10027,"ORGEIX"
10028,"AXIAT"
10029,"CAUSSOU"
10030,"SALSEIN"
10031,"MALEGOUDE"
10032,"RIMONT"
10033,"RABAT LES TROIS SEIGNEURS"
10034,"LESPARROU"
10035,"GAJAN"
10036,"MIGLOS"
10037,"BENAIX"
10038,"DALOU"
10039,"PAMIERS"
10040,"MOULIN NEUF"
10041,"SEIX"
10042,"ILLARTEIN"
10043,"ORNOLAC USSAT LES BAINS"
10044,"BRASSAC"
10045,"CELLES"
10046,"COUFLENS"
10047,"ALBIES"
10048,"MONTAGAGNE"
10049,"LA TOUR DU CRIEU"
10050,"VEBRE"
10051,"MIJANES"
10052,"QUERIGUT"
10053,"ARROUT"
10054,"ANTRAS"
10055,"DAUMAZAN SUR ARIZE"
10056,"LES BORDES SUR ARIZE"
10057,"ARGEIN"
10058,"GALEY"
10059,"GOULIER"
10060,"LE FOSSAT"
10061,"MONTARDIT"
10062,"ARTIGUES"
10063,"CAZENAVE SERRES ET ALLENS"
10064,"MONTEGUT EN COUSERANS"
10065,"ORGIBET"
10066,"BESTIAC"
10067,"CAMARADE"
10068,"LA BASTIDE DE SEROU"
10069,"LES PUJOLS"
10070,"ST AMADOU"
10071,"BELLOC"
10072,"BRIE"
10073,"ESCLAGNE"
10074,"LERCOUL"
10075,"UNZENT"
10076,"L HOSPITALET PRES L ANDORRE"
10077,"BETCHAT"
10078,"CAUMONT"
10079,"LA BASTIDE DU SALAT"
10080,"SABARAT"
10081,"PRADETTES"
10082,"OUST"
10083,"CONTRAZY"
10084,"ROQUEFIXADE"
10085,"CRAMPAGNA"
10086,"LA BASTIDE DE LORDAT"
10087,"SENTENAC D OUST"
10088,"LANOUX"
10089,"LA BASTIDE SUR L HERS"
10090,"PRAT BONREPAUX"
10091,"TABRE"
10092,"BAGERT"
10093,"RIVERENERT"
10094,"ILHAT"
10095,"ST JEAN D AIGUES VIVES"
10096,"ORUS"
10097,"JUSTINIAC"
10098,"DUN"
10099,"LACAVE"
10100,"VERNIOLLE"
10101,"LES CABANNES"
10102,"CHATEAU VERDUN"
10103,"CANTE"
10104,"ST JEAN DE VERGES"
10105,"ST JEAN DE VERGES"
10106,"CARLA DE ROQUEFORT"
10107,"BARJAC"
10108,"TROYE D ARIEGE"
10109,"LA BASTIDE DE BESPLAS"
10110,"USSAT"
10111,"ESPLAS DE SEROU"
10112,"ROQUEFORT LES CASCADES"
10113,"PAILHES"
10114,"RAISSAC"
10115,"LESCURE"
10116,"CAMPAGNE SUR ARIZE"
10117,"ALEU"
10118,"LUDIES"
10119,"MONTJOIE EN COUSERANS"
10120,"TOURTROL"
10121,"SIGUER"
10122,"LIMBRASSAC"
10123,"L AIGUILLON"
10124,"AIGUES JUNTES"
10125,"COUSSA"
10126,"ST JEAN DU FALGA"
10127,"SIEURAS"
10128,"BOMPAS"
10129,"ERP"
10130,"MONTESQUIEU AVANTES"
10131,"SAURAT"
10132,"GENAT"
10133,"BENAC"
10134,"SERRES SUR ARGET"
10135,"SOULA"
10136,"PERLES ET CASTELET"
10137,"VERNAJOUL"
10138,"CESCAU"
10139,"LE BOSC"
10140,"ALZEN"
10141,"CASTERAS"
10142,"IGNAUX"
10143,"DURFORT"
10144,"NESCUS"
10145,"LEYCHERT"
10146,"ALOS"
10147,"FOIX"
10148,"BURRET"
10149,"ALLIERES"
10150,"FABAS"
10151,"LES ISSARDS"
10152,"ESCOSSE"
10153,"APPY"
10154,"LARBONT"
10155,"LORDAT"
10156,"SUZAN"
10157,"ASCOU"
10158,"CAZAVET"
10159,"USTOU"
10160,"LE VERNET"
10161,"LASSUR"
10162,"MONTSERON"
10163,"TARASCON SUR ARIEGE"
10164,"VICDESSOS"
10165,"UCHENTEIN"
10166,"VENTENAC"
10167,"FOUGAX ET BARRINEUF"
10168,"ARVIGNA"
10169,"ST MARTIN D OYDES"
10170,"MERCENAC"
10171,"BALAGUERES"
10172,"LAPEGE"
10173,"CASTELNAU DURBAN"
10174,"USTOU"
10175,"ESPLAS"
10176,"SUC ET SENTENAC"
10177,"ST BAUZEIL"
10178,"SOR"
10179,"LISSAC"
10180,"MAZERES"
10181,"VERNAUX"
10182,"ST FELIX DE TOURNEGAT"
10183,"FERRIERES SUR ARIEGE"
10184,"LE PORT"
10185,"AUDRESSEIN"
10186,"TARASCON SUR ARIEGE"
10187,"ASTON"
10188,"SEM"
10189,"ALLIAT"
10190,"COS"
10191,"SINSAT"
10192,"CAMON"
10193,"ST JEAN DU CASTILLONNAIS"
10194,"CERIZOLS"
10195,"MAUVEZIN DE STE CROIX"
10196,"MERIGON"
10197,"MONESPLE"
10198,"MONTBEL"
10199,"VALS"
10200,"MONTAILLOU"
10201,"SENTENAC DE SEROU"
10202,"ARRIEN EN BETHMALE"
10203,"TAURIGNAN CASTET"
10204,"GANAC"
10205,"CASTEX"
10206,"LERAN"
10207,"BONNAC"
10208,"LE CARLARET"
10209,"LESCOUSSE"
10210,"PRAYOLS"
10211,"FORNEX"
10212,"BONAC IRAZEIN"
10213,"BEDEILHAC ET AYNAT"
10214,"BALACET"
10215,"AULOS"
10216,"BETHMALE"
10217,"BEZAC"
10218,"REGAT"
10219,"SEGURA"
10220,"VAYCHIS"
10221,"ST VICTOR ROUZAUD"
10222,"MOULIS"
10223,"ST YBARS"
10224,"LORP SENTARAILLE"
10225,"SAVERDUN"
10226,"BAULOU"
10227,"L HERM"
10228,"ST PAUL DE JARRAT"
10229,"ERCE"
10230,"BIERT"
10231,"SAUTEL"
10232,"ST QUIRC"
10233,"LARNAT"
10234,"MERENS LES VALS"
10235,"VILLENEUVE D OLMES"
10236,"VILLENEUVE DU PAREAGE"
10237,"ST MICHEL"
10238,"NIAUX"
10239,"THOUARS SUR ARIZE"
10240,"SAURAT"
10241,"LES BORDES SUR LEZ"
10242,"CAZAUX"
10243,"COUFLENS"
10244,"FREYCHENET"
10245,"ENGOMER"
10246,"DURBAN SUR ARIZE"
10247,"SOULAN"
10248,"ST AMANS"
10249,"BELESTA"
10250,"MONTSEGUR"
10251,"VIRA"
10252,"CADARCET"
10253,"DUN"
10254,"TOURTOUSE"
10255,"ARTIGAT"
10256,"DUN"
10257,"GARANOU"
10258,"CASTILLON EN COUSERANS"
10259,"TEILHET"
10260,"VIVIES"
10261,"LAVELANET"
10262,"ILLIER ET LARAMADE"
10263,"VILLENEUVE DU LATOU"
10264,"MASSAT"
10265,"BOUSSENAC"
10266,"MADIERE"
10267,"CAZALS DES BAYLES"
10268,"ST MARTIN DE CARALP"
10269,"ARNAVE"
10270,"AX LES THERMES"
10271,"ROUMENGOUX"
10272,"ORLU"
10273,"SOUEIX ROGALLE"
10274,"MIREPOIX"
10275,"LAROQUE D OLMES"
10276,"PRADES"
10277,"PECH"
10278,"AUZAT"
10279,"LAGARDE"
10280,"PEREILLE"
10281,"MALLEON"
10282,"LASSERRE"
10283,"BESSET"
10284,"AUCAZEIN"
10285,"ARTIX"
10286,"MERAS"
10287,"ARIGNAC"
10288,"QUIE"
10289,"GESTIES"
10290,"EYCHEIL"
10291,"LOUBAUT"
10292,"MONTEGUT PLANTAUREL"
10293,"MERCUS GARRABET"
10294,"RIEUX DE PELLEPORT"
10295,"DREUILHE"
10296,"LE PEYRAT"
10297,"LOUBENS"
10298,"LACOURT"
10299,"CARLA BAYLE"
10300,"ST LARY"
10301,"AULUS LES BAINS"
10302,"BUZAN"
10303,"SENTEIN"
10304,"TREMOULET"
10305,"MONTELS"
10306,"SAVIGNAC LES ORMEAUX"
10307,"AIGUES VIVES"
10308,"LABATUT"
10309,"LUZENAC"
10310,"SENCONAC"
10311,"UNAC"
10312,"LEZAT SUR LEZE"
10313,"PRADIERES"
10314,"BENAGUES"
10315,"SORGEAT"
10316,"ST GIRONS"
10317,"BEDEILLE"
10318,"STE FOI"
10319,"GUDAS"
10320,"LAPENNE"
10321,"MANSES"
10322,"ST QUENTIN LA TOUR"
10323,"TIGNAC"
10324,"VARILHES"
10325,"ST FELIX DE RIEUTORD"
10326,"MONTFERRIER"
10327,"SURBA"
10328,"TAURIGNAN VIEUX"
10329,"STE SUZANNE"
10330,"MONTAUT"
10331,"CAYCHAX"
10332,"GOURBIT"
10333,"CALZAN"
10334,"LIEURAC"
10335,"STE CROIX VOLVESTRE"
10336,"ST LIZIER"
10337,"MONTFA"
10338,"AUGIREIN"
10339,"LE MAS D AZIL"
10340,"MONTGAILLARD"
10341,"CLERMONT"
10342,"GAUDIES"
10343,"MONTGAUCH"
